candidate_index,source,status,loss,fixed_mae_nm,random_mae_nm,phase
70,simulation,COMPLETED,0.6185387599999999,0.6498183999999998,0.5872591199999999,botorch
71,simulation,COMPLETED,0.7589491700000002,0.7253769600000004,0.7925213799999999,botorch
72,simulation,COMPLETED,0.6571744300000001,0.5661704000000001,0.7481784600000001,botorch
73,simulation,COMPLETED,0.86272942,0.6843743600000001,1.04108448,botorch
74,simulation,COMPLETED,0.6509918699999999,0.63243054,0.6695532,botorch
75,simulation,COMPLETED,0.7106043899999999,0.71763138,0.7035773999999998,botorch
76,simulation,COMPLETED,0.52245439,0.6123363600000001,0.4325724199999999,botorch
77,simulation,COMPLETED,0.63279045,0.6066578599999999,0.6589230400000001,botorch
78,simulation,COMPLETED,0.6644923000000003,0.7050957200000001,0.6238888800000003,botorch
79,simulation,COMPLETED,0.6956540400000002,0.6135553400000002,0.77775274,botorch
80,simulation,COMPLETED,0.7090410300000001,0.6159936800000001,0.80208838,botorch
81,simulation,COMPLETED,0.7350204600000001,0.59495542,0.8750855000000002,botorch
82,simulation,COMPLETED,0.5793422500000001,0.6275681600000003,0.5311163399999999,botorch
83,simulation,COMPLETED,0.7149652400000002,0.67668482,0.7532456600000004,botorch
84,simulation,COMPLETED,0.5336578600000002,0.54550458,0.5218111400000002,botorch
85,simulation,COMPLETED,1.09658433,0.94755258,1.24561608,botorch
86,simulation,COMPLETED,0.8872115700000001,0.9440943600000002,0.83032878,botorch
87,simulation,COMPLETED,0.6962533999999999,0.7169861599999999,0.6755206399999999,botorch
88,simulation,COMPLETED,0.8512076500000001,0.7534797799999999,0.9489355200000004,botorch
89,simulation,COMPLETED,0.69715083,0.6861902200000001,0.7081114399999999,botorch
90,simulation,COMPLETED,0.6789399999999999,0.487156,0.8707239999999998,botorch
91,simulation,COMPLETED,0.7569715400000001,0.5562901600000001,0.95765292,botorch
92,simulation,COMPLETED,0.65580036,0.88349874,0.4281019800000001,botorch
93,simulation,COMPLETED,0.60359987,0.5794757200000001,0.6277240199999999,botorch
94,simulation,COMPLETED,0.78084791,0.7068128199999999,0.8548830000000001,botorch
95,simulation,COMPLETED,0.7684644099999999,0.7454069599999998,0.7915218599999999,botorch
96,simulation,COMPLETED,0.8752979299999999,0.8786731999999999,0.8719226599999998,botorch
97,simulation,COMPLETED,0.72568948,0.6892524800000001,0.76212648,botorch
98,simulation,COMPLETED,0.70294605,0.5993772600000001,0.8065148399999998,botorch
99,simulation,COMPLETED,0.6333176300000001,0.6343023600000001,0.6323329000000001,botorch
